gene,p_value (FoxOTriple),LogFC (FoxOtriple)
Serpina7 ,0.009673,2.7290208
Tcea1 ,0.03713746,2.3221708
Klk1b22 ,0.04780427,2.1147275
Ly96 ,0.02141203,1.9415283
Lsm8 ,0.02597695,1.6903975
Cxcl11 ,0.13887734,1.6467758
Asb11 ,0.00039383,1.6182158
Ifit1 ,0.13761255,1.5731592
Aldh1a3 ,0.00000365,1.567915
Fabp3 ,0.00869575,1.530185
Ankrd49 ,0.03149417,1.5200983
Bet1 ,0.03476039,1.4670525
Aass ,0.00654979,1.4125392
Tmed6 ,0.01056148,1.3939658
Gtf3c6 ,0.01193009,1.3899917
Snrpb2 ,0.05390317,1.383665
Vamp7 ,0.03275091,1.3820883
Nxt2 ,0.02975102,1.35199
8430426H19Rik ,0.004794,1.3398675
Ppp2r3c ,0.02280362,1.3269167
Gabra4 ,0.00498161,1.3050117
Mc5r ,0.01362091,1.2927158
Trim13 ,0.05272718,1.2888958
Tnfrsf11b ,0.00444633,1.2867917
Fam107a ,0.00074909,1.2811
Gstk1 ,0.02223678,1.2647483
Gatc ,0.03021025,1.2547233
Zfp758 ,0.01222988,1.2525875
Rfc4 ,0.0388636,1.2512192
Zfp758 ,0.00369594,1.2476225
Fam96a ,0.05221749,1.2437208
Cetn2 ,0.01067361,1.2385792
Manea ,0.05376134,1.2296692
Nfyc ,0.08375031,1.2285058
Arsk ,0.01584621,1.2276375
S100a1 ,0.0097027,1.2156033
Sumo1 ,0.03767808,1.2127092
Meig1 ,0.01543849,1.2058283
0610009B22Rik ,0.01378588,1.2024483
Pou3f4 ,0.02080993,1.2003242
Tceal1 ,0.01237269,1.199125
Gc ,0.03648964,1.1966583
Dhrs1 ,0.02580693,1.18795
Cript ,0.04381039,1.18351
Crbn ,0.01881903,1.1810225
Il1r2 ,0.00851897,1.1783008
Perp ,0.08927563,1.17165
Nudt11 ,0.0278093,1.1653342
Synpr ,0.00276965,1.1596783
Ubl5 ,0.02480837,1.1590917
Nsun3 ,0.03314151,1.1586342
Rbbp9 ,0.0170088,1.1515667
Ndufs8 ,0.02263448,1.1463458
Spcs1 ,0.06265763,1.1347258
Mef2d ,0.04748999,1.1244067
Spp1 ,0.05970815,1.1209133
Ly6a ,0.08311,1.120675
5730469M10Rik ,0.07644534,1.1187725
Lsmd1 ,0.01576849,1.1101958
BC062127 ,0.01226984,1.1098858
Trappc2 ,0.01649159,1.1089808
Spc25 ,0.02035649,1.1044192
Napb ,0.0209607,1.1027475
D14Ertd449e ,0.03202878,1.1014908
